Label (1 = metaphor / 0 = literal)	Sentence
1	Another option will be to try to curb the growth in education and other local assistance , which absorbs 66 % of the state 's budget 
1	But in the short-term it will absorb a lot of top management 's energy and attention , '' says Philippe Haspeslagh , a business professor at the European management school , Insead , in Paris 
1	That merger , valued at about $ 1 billion , helped fuel a succession of financial marriages in which brokerage firms were absorbed by larger , diversified financial services companies 
1	Shocks from one-time changes in the terms of trade should be absorbed by adjustments in exchange-rate terms -- not price levels 
1	R.J. Reynolds Tobacco Co. has been a rich , fat operation , which absorbed 400 people from the old corporate headquarters staff with hardly a burp 
1	Taxes ca n't keep rising faster than the incomes of taxpayers , or the government would absorb an ever-increasing share of private incomes , destroying incentives 
1	During the past 18 months , the Houston-based unit of Texas Air Corp. absorbed several carriers , in the process inheriting a hodge-podge of different aircraft 
1	In the years since 1853 , when 4 , 058 steamboats arrived at the Cincinnati waterfront loaded with `` foreign '' people and exotic merchandise , Cincinnati residents have absorbed chili and pizza and wontons and dirty rice while adjusting to electric music and jet lag 
1	They stressed that many of the costs absorbed this quarter , such as the firing up of USX 's Fairfield facility , will be a benefit later on 
1	Also , the government was charged for development costs that Sundstrand either should have passed on to private customers or absorbed , Mr. Valukas said 
1	The decline resulted from costs of absorbing Stevens and from a marketing miscue in Arrow shirts 
1	Mr. Wyss of Data Resources suggested that factories may be having difficulty hiring new workers at a time of such low unemployment or may simply not be able to absorb as many new workers as they would like 
1	Management of three of the five highest yielding general purpose funds , as ranked by the Donoghue Organization , absorb a portion of fund expenses 
1	WestFed will absorb 20 % of the first $ 35 million of losses on the sale of those assets 
1	Meanwhile , Democratic nominee Michael Dukakis -- after a month of absorbing Republican blows on his patriotism and being portrayed as a big taxer -- tried to gain the offensive with an old Democratic chestnut: the Republicans are going to take away your Social Security 
1	`` It 's so expensive to be over there , and if you have to absorb -LRB- overhead -RRB- expenses while operating at a loss , it 's going to make things very hard , '' he said 
1	And even when that loophole was closed , in 1980 , the Japanese decided to absorb the tariff rather than boost prices 
1	While the rest of the nation watched with mere curiosity or slight concern , the nation 's fourth-largest city was thoroughly absorbed by the approach of Hurricane Gilbert 
1	The Lloyd 's market will absorb roughly half the estimated $ 1.4 billion in losses from the Piper Alpha disaster , he said 
1	Aside from the cash , the Federal Home Loan Bank Board 's insurance arm will guarantee a return on bad assets and absorb 75 % of the first $ 2.7 million of capital losses on certain bad assets and then absorb all losses beyond that for five years 
1	Mr. Ennis said he believes Rockwood got into financial difficulty because its expansion efforts `` outstripped its ability to absorb those activities . ''/''
1	The clearance came as a notary approved Ferruzzi 's plan to absorb Iniziativa Me.T.A 
1	If his style after the strikes of last May indicates anything , Gen. Jaruzelski has n't absorbed that 
1	In addition , legal disputes appear to be brewing over who will absorb the growing losses associated with the recall , as well as product-liability claims 
1	Remics are absorbing the bulk of newly issued mortgage securities as institutional buyers , such as thrifts and insurance companies , prefer the more tailored investment features of structured mortgage securities to the greater payment uncertainties of ordinary pass-throughs issued by Ginnie Mae , Freddie Mac and Fannie Mae 
1	"Chrysler says it will absorb the costs of making air bags standard equipment until at least 1990 ; it wo n't say how high it will push prices when it eventually does start charging for the feature "
1	Robert K. Heady , publisher of Bank Rate Monitor , a North Palm Beach , Fla . , interest rate newsletter , said banks `` did n't jump through hoops to raise savings yields 24 hours after absorbing the news of the Federal discount rate . ''/''
1	Now , do all of them absorb it and grab it ?/.
1	Prime Computer Inc . , as expected , reported a sharp earnings decline because of a write-off and costs related to absorbing an acquisition during its second quarter ended July 4 
1	While Islam converted people , it disseminated its knowledge to them and at the same time , it absorbed the teachings of others 
1	The company has slugged its way out of the economic doldrums , piling up $ 624 million in earnings from 1985 to 1987 after absorbing unprecedented losses of $ 953 million from 1982 to 1984 
1	`` Some companies are better positioned than others to absorb these kinds of margin pressures , '' she says 
1	Chrysler also is incurring costs from accelerating product-development programs , and from absorbing American Motors Corp . , which it bought last year 
1	`` In a small company , the CEO and his people become so absorbed in the Eleven that it dominates the existence of the company . ''/''
1	The House-passed version also includes the 4 % raise , but would require agencies to absorb only half of the cost 
1	In 1946 , Stalin in his campaign to break Ukrainian nationalism brutally forced the Russian Orthodox Church to absorb the Ukrainian Catholic Church 
1	And the $ 300 million sunflower industry is faring far worse than the $ 10.5 billion soybean industry , which is large enough to absorb short-term setbacks 
1	`` We 've been absorbing the costs for some time , '' the spokesman said 
1	Brokers said the new 10-year bond to be floated by the Bonn government will be absorbed only slowly by the market 
1	Mr. Iacocca said at the annual meeting that other factors also are hurting second-quarter profit , including additional research-and-development spending , the recently negotiated new contract with the United Auto Workers union and the cost of absorbing American Motors Corp . , which Chrysler acquired last year 
1	`` Locals absorbed a lot of losses , '' said Mr. Sandor of Drexel 
1	The cost , about $ 250 a month , absorbs almost a third of her $ 1 , 400 monthly take-home pay 
1	`` When the market absorbs heavy selling , as this one did , and still comes back , it indicates to me that it wants to go higher , '' Mr. Radoccia said 
1	Jordan , with a flagging economy and a 4.2 % annual birth-rate , could n't absorb another influx of refugees no matter how sympathetically it viewed their plight 
1	Some diamond analysts said dealers may find it difficult to absorb De Beers latest price increase , particularly since it followed a 10 % rise in prices in early October 
1	By 1983 he had become so absorbed in his quest that he resigned as China correspondent for The Wall Street Journal and spent much of the next four years in China visiting relatives , searching libraries and scrabbling through underbrush looking for grave sites 
1	Mr. Jackson has absorbed whatever the press will give him , the useful along with the condescending 
1	And Bank Board Chairman Danny Wall says that , by getting hefty shares of profit and stock if Pelican turns around , the board will `` share on the up-side , '' rather than just bearing the risk of absorbing further losses 
0	The Monitor 's losses are absorbed by the church 's working fund , which reportedly has declined during the past two years to about $ 200 million from more than $ 280 million , largely because of the stock-market crash 
0	The difference: An ever wealthier South Korea can imagine absorbing the poorer , less-populated Communist North , but Taiwan , no matter how rich , would be swallowed whole by the massive Chinese mainland 
0	In most instances , executives at the absorbed companies are the merger casualties , says Steven Potter of Russell Reynolds Associates 
0	Burt Sugarman , chairman of the cement company , said third-quarter earnings were hurt by unrealized losses on stocks in its investment portfolio of about $ 2 million , and by having to absorb about $ 3.9 million of a $ 6.9 million net loss recently posted by Barris Industries Inc. with no associated tax benefits 
0	Emulating Japan 's broad-based conglomerates , Samsung Electronics Co. will officially absorb Samsung Semiconductor & Telecommunications Co 
0	As a result , total investment from all sources , domestic and foreign , of about 16 % of gross national product is still way short of the 25 % analysts believe is needed to absorb a fast-expanding labor force 
0	Operations at metal and wood coffin manufacturing plants in Missouri , Indiana and Pennsylvania will remain open and , in fact , be expanded with additional shifts to absorb some of the workers and production idled elsewhere 
0	It 's the smile of a man who has wit , but is too absorbed to indulge himself in humor 
0	A U.S. Department of Labor report prepared by the U.S. Embassy here said the country `` continues to rely heavily on export of labor , tramsmigration and the capability of the informal sector to absorb surplus manpower to take up each year 's slack in unemployment opportunities . ''/''
0	An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone , which tends to absorb the sulfur 
0	He said that MMWEC will have to absorb only $ 4 million in additional annual costs now paid by the Vermont utilities 
